utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769489899403,2026-01-27 04:58:19.403,186339.751089,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489900360,2026-01-27 04:58:20.360,186340.708333,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489901322,2026-01-27 04:58:21.322,186341.670796,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489902283,2026-01-27 04:58:22.283,186342.631120,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489903244,2026-01-27 04:58:23.244,186343.592481,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489904200,2026-01-27 04:58:24.200,186344.548332,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489905166,2026-01-27 04:58:25.166,186345.514082,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489906606,2026-01-27 04:58:26.606,186346.954544,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489907549,2026-01-27 04:58:27.549,186347.897363,92.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489908524,2026-01-27 04:58:28.524,186348.872145,93.000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
