utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769493389094,2026-01-27 05:56:29.094,189829.378711,82.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493390534,2026-01-27 05:56:30.534,189830.819699,82.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493391494,2026-01-27 05:56:31.494,189831.779610,83.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493392453,2026-01-27 05:56:32.453,189832.738007,83.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493393414,2026-01-27 05:56:33.414,189833.699133,83.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493394375,2026-01-27 05:56:34.375,189834.659217,85.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493395335,2026-01-27 05:56:35.335,189835.619988,86.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493396296,2026-01-27 05:56:36.296,189836.579888,88.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493397257,2026-01-27 05:56:37.257,189837.541805,88.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493398214,2026-01-27 05:56:38.214,189838.498870,88.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493399175,2026-01-27 05:56:39.175,189839.459860,89.000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
