utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769581397230,2026-01-28 06:23:17.230,237661.654660,91.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581398191,2026-01-28 06:23:18.191,237662.615184,91.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581399151,2026-01-28 06:23:19.151,237663.575248,91.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581400112,2026-01-28 06:23:20.112,237664.536176,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581402035,2026-01-28 06:23:22.035,237666.458230,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581402038,2026-01-28 06:23:22.038,237666.461683,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581403471,2026-01-28 06:23:23.471,237667.894683,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581404421,2026-01-28 06:23:24.421,237668.844816,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581405393,2026-01-28 06:23:25.393,237669.816921,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581406333,2026-01-28 06:23:26.333,237670.757318,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581407312,2026-01-28 06:23:27.312,237671.736614,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581408273,2026-01-28 06:23:28.273,237672.697423,90.000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
