utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769581599319,2026-01-28 06:26:39.319,237863.739000,104.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581600277,2026-01-28 06:26:40.277,237864.697015,103.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581601236,2026-01-28 06:26:41.236,237865.656403,101.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581602199,2026-01-28 06:26:42.199,237866.618768,101.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581604116,2026-01-28 06:26:44.116,237868.536600,98.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581604120,2026-01-28 06:26:44.120,237868.539804,97.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581605079,2026-01-28 06:26:45.079,237869.498700,97.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581606041,2026-01-28 06:26:46.041,237870.460921,97.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581607479,2026-01-28 06:26:47.479,237871.898749,96.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581608439,2026-01-28 06:26:48.439,237872.858552,96.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581609400,2026-01-28 06:26:49.400,237873.820446,96.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
1769581610359,2026-01-28 06:26:50.359,237874.778961,95.000,0128062636_cb76ea3edb6f4,1769581596948,2026-01-28 06:26:36.948
