utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769581807805,2026-01-28 06:30:07.805,238071.580332,94.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581807205,2026-01-28 06:30:07.205,238071.621993,92.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581808605,2026-01-28 06:30:08.605,238073.021965,92.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581809079,2026-01-28 06:30:09.079,238073.495236,92.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581810044,2026-01-28 06:30:10.044,238074.461230,92.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581811001,2026-01-28 06:30:11.001,238075.418830,91.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581812444,2026-01-28 06:30:12.444,238076.861599,91.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581813403,2026-01-28 06:30:13.403,238077.819644,91.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581814363,2026-01-28 06:30:14.363,238078.780362,90.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581815324,2026-01-28 06:30:15.324,238079.740619,91.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581816285,2026-01-28 06:30:16.285,238080.701732,92.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581817239,2026-01-28 06:30:17.239,238081.656236,93.000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
