utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769582077092,2026-01-28 06:34:37.092,238340.863198,92.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582077408,2026-01-28 06:34:37.408,238341.820731,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582078834,2026-01-28 06:34:38.834,238343.247497,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582079327,2026-01-28 06:34:39.327,238343.740216,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582080288,2026-01-28 06:34:40.288,238344.700747,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582081247,2026-01-28 06:34:41.247,238345.660489,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582082210,2026-01-28 06:34:42.210,238346.623286,92.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582083169,2026-01-28 06:34:43.169,238347.581657,92.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582084126,2026-01-28 06:34:44.126,238348.539536,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582085090,2026-01-28 06:34:45.090,238349.503030,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582086528,2026-01-28 06:34:46.528,238350.940464,93.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582087008,2026-01-28 06:34:47.008,238351.421499,94.000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
