utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769582382216,2026-01-28 06:39:42.216,238646.624974,90.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582383174,2026-01-28 06:39:43.174,238647.582364,90.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582384138,2026-01-28 06:39:44.138,238648.545841,90.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582385096,2026-01-28 06:39:45.096,238649.504472,90.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582386058,2026-01-28 06:39:46.058,238650.466231,90.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582387017,2026-01-28 06:39:47.017,238651.425416,90.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582388457,2026-01-28 06:39:48.457,238652.865595,90.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582389417,2026-01-28 06:39:49.417,238653.825502,89.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582390378,2026-01-28 06:39:50.378,238654.786902,89.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582391323,2026-01-28 06:39:51.323,238655.731681,89.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582392294,2026-01-28 06:39:52.294,238656.702234,88.000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
