utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769583856340,2026-01-28 07:04:16.340,240120.721748,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583857280,2026-01-28 07:04:17.280,240121.662165,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583858252,2026-01-28 07:04:18.252,240122.634579,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583859196,2026-01-28 07:04:19.196,240123.577794,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583861133,2026-01-28 07:04:21.133,240125.515842,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583861137,2026-01-28 07:04:21.137,240125.519379,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583862093,2026-01-28 07:04:22.093,240126.475877,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583863054,2026-01-28 07:04:23.054,240127.436385,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583864481,2026-01-28 07:04:24.481,240128.863437,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583865453,2026-01-28 07:04:25.453,240129.835810,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583866414,2026-01-28 07:04:26.414,240130.796360,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583867373,2026-01-28 07:04:27.373,240131.755724,80.000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
