utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769584432343,2026-01-28 07:13:52.343,240696.716573,86.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584433307,2026-01-28 07:13:53.307,240697.680280,87.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584434256,2026-01-28 07:13:54.256,240698.628615,87.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584435230,2026-01-28 07:13:55.230,240699.602234,87.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584436187,2026-01-28 07:13:56.187,240700.560867,86.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584437147,2026-01-28 07:13:57.147,240701.520657,86.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584438102,2026-01-28 07:13:58.102,240702.475524,86.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584439068,2026-01-28 07:13:59.068,240703.441190,86.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584440506,2026-01-28 07:14:00.506,240704.879208,87.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584441450,2026-01-28 07:14:01.450,240705.822819,87.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584442412,2026-01-28 07:14:02.412,240706.785540,87.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584443387,2026-01-28 07:14:03.387,240707.760080,88.000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
