utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766389462477,2025-12-22 07:44:22.477,1092078.424998,82.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389462802,2025-12-22 07:44:22.802,1092079.392586,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389464719,2025-12-22 07:44:24.719,1092081.309639,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389465196,2025-12-22 07:44:25.196,1092081.786828,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389466156,2025-12-22 07:44:26.156,1092082.746295,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389467117,2025-12-22 07:44:27.117,1092083.707044,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389468076,2025-12-22 07:44:28.076,1092084.666925,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389469035,2025-12-22 07:44:29.035,1092085.626170,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389470958,2025-12-22 07:44:30.958,1092087.547967,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389470960,2025-12-22 07:44:30.960,1092087.550996,80.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389471919,2025-12-22 07:44:31.919,1092088.509472,81.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389472879,2025-12-22 07:44:32.879,1092089.468813,82.000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
