utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766389560398,2025-12-22 07:46:00.398,1092176.344658,82.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389561199,2025-12-22 07:46:01.199,1092177.786261,82.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389562163,2025-12-22 07:46:02.163,1092178.750139,83.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389563121,2025-12-22 07:46:03.121,1092179.708519,83.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389564079,2025-12-22 07:46:04.079,1092180.666638,83.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389565042,2025-12-22 07:46:05.042,1092181.630135,83.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389565997,2025-12-22 07:46:05.997,1092182.584859,83.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389566961,2025-12-22 07:46:06.961,1092183.549019,83.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389567920,2025-12-22 07:46:07.920,1092184.507943,82.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389568881,2025-12-22 07:46:08.881,1092185.469251,82.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389570801,2025-12-22 07:46:10.801,1092187.388799,82.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
1766389570804,2025-12-22 07:46:10.804,1092187.391682,83.000,1222074559_cce69eb868494,1766389559195,2025-12-22 07:45:59.195
