utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766389891609,2025-12-22 07:51:31.609,1092507.551313,83.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389891916,2025-12-22 07:51:31.916,1092508.498728,83.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389892890,2025-12-22 07:51:32.890,1092509.472811,82.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389893846,2025-12-22 07:51:33.846,1092510.429180,83.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389894808,2025-12-22 07:51:34.808,1092511.390759,84.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389895755,2025-12-22 07:51:35.755,1092512.338896,85.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389897207,2025-12-22 07:51:37.207,1092513.789823,85.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389898168,2025-12-22 07:51:38.168,1092514.751344,86.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389899129,2025-12-22 07:51:39.129,1092515.712286,86.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389900089,2025-12-22 07:51:40.089,1092516.671220,85.000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
