utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766390094656,2025-12-22 07:54:54.656,1092710.593157,83.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390094974,2025-12-22 07:54:54.974,1092711.552893,82.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390095936,2025-12-22 07:54:55.936,1092712.513874,82.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390096896,2025-12-22 07:54:56.896,1092713.474630,82.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390097855,2025-12-22 07:54:57.855,1092714.432775,81.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390098813,2025-12-22 07:54:58.813,1092715.392619,81.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390099774,2025-12-22 07:54:59.774,1092716.352169,81.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390101217,2025-12-22 07:55:01.217,1092717.795140,81.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390102176,2025-12-22 07:55:02.176,1092718.754673,80.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390103132,2025-12-22 07:55:03.132,1092719.710934,80.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390104094,2025-12-22 07:55:04.094,1092720.671800,79.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
1766390105054,2025-12-22 07:55:05.054,1092721.632157,79.000,1222075453_203f9f4ad6b14,1766390093535,2025-12-22 07:54:53.535
