utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766390944264,2025-12-22 08:09:04.264,1093560.186119,84.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390944104,2025-12-22 08:09:04.104,1093560.667108,85.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390945061,2025-12-22 08:09:05.061,1093561.624409,86.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390946018,2025-12-22 08:09:06.018,1093562.581252,86.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390946997,2025-12-22 08:09:06.997,1093563.560354,86.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390947953,2025-12-22 08:09:07.953,1093564.516067,86.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390948915,2025-12-22 08:09:08.915,1093565.477907,87.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390949872,2025-12-22 08:09:09.872,1093566.435881,87.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390950833,2025-12-22 08:09:10.833,1093567.396581,86.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390951793,2025-12-22 08:09:11.793,1093568.355971,86.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390953235,2025-12-22 08:09:13.235,1093569.798007,87.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390954193,2025-12-22 08:09:14.193,1093570.756394,86.000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
