utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766391961424,2025-12-22 08:26:01.424,1094577.329045,81.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391962224,2025-12-22 08:26:02.224,1094578.769885,81.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391963184,2025-12-22 08:26:03.184,1094579.730624,82.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391964143,2025-12-22 08:26:04.143,1094580.689229,82.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391965103,2025-12-22 08:26:05.103,1094581.649545,82.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391966063,2025-12-22 08:26:06.063,1094582.608538,82.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391967023,2025-12-22 08:26:07.023,1094583.568810,82.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391967980,2025-12-22 08:26:07.980,1094584.526293,84.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391968942,2025-12-22 08:26:08.942,1094585.487826,84.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391970860,2025-12-22 08:26:10.860,1094587.406445,85.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391970863,2025-12-22 08:26:10.863,1094587.409185,84.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
1766391971821,2025-12-22 08:26:11.821,1094588.367515,84.000,1222082559_c073fb5b471d4,1766391959853,2025-12-22 08:25:59.853
