utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766394165645,2025-12-22 09:02:45.645,1096781.508587,85.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394165963,2025-12-22 09:02:45.963,1096782.467890,87.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394166922,2025-12-22 09:02:46.922,1096783.427546,87.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394168843,2025-12-22 09:02:48.843,1096785.348377,86.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394168847,2025-12-22 09:02:48.847,1096785.351666,85.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394169802,2025-12-22 09:02:49.802,1096786.306576,85.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394171241,2025-12-22 09:02:51.241,1096787.746673,84.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394172203,2025-12-22 09:02:52.203,1096788.707157,84.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394173164,2025-12-22 09:02:53.164,1096789.667892,84.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394174120,2025-12-22 09:02:54.120,1096790.625306,84.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394175082,2025-12-22 09:02:55.082,1096791.586930,84.000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
