utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766394375887,2025-12-22 09:06:15.887,1096991.747481,78.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394376212,2025-12-22 09:06:16.212,1096992.713978,78.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394377166,2025-12-22 09:06:17.166,1096993.668282,78.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394378125,2025-12-22 09:06:18.125,1096994.627359,77.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394379086,2025-12-22 09:06:19.086,1096995.588081,76.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394380047,2025-12-22 09:06:20.047,1096996.549346,76.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394381003,2025-12-22 09:06:21.003,1096997.504899,76.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394381967,2025-12-22 09:06:21.967,1096998.469154,76.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394382912,2025-12-22 09:06:22.912,1096999.413831,76.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394383873,2025-12-22 09:06:23.873,1097000.375341,76.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394384846,2025-12-22 09:06:24.846,1097001.347239,76.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
1766394385808,2025-12-22 09:06:25.808,1097002.309783,77.000,1222090614_320d759357a94,1766394374457,2025-12-22 09:06:14.457
