utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766394475732,2025-12-22 09:07:55.732,1097091.589800,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394476051,2025-12-22 09:07:56.051,1097092.549897,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394477012,2025-12-22 09:07:57.012,1097093.510508,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394477967,2025-12-22 09:07:57.967,1097094.465745,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394478928,2025-12-22 09:07:58.928,1097095.427902,79.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394479890,2025-12-22 09:07:59.890,1097096.389489,79.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394480851,2025-12-22 09:08:00.851,1097097.349611,79.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394481808,2025-12-22 09:08:01.808,1097098.307158,79.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394483250,2025-12-22 09:08:03.250,1097099.748947,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394484208,2025-12-22 09:08:04.208,1097100.707310,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394485172,2025-12-22 09:08:05.172,1097101.671283,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394486131,2025-12-22 09:08:06.131,1097102.629756,78.000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
