utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766394701817,2025-12-22 09:11:41.817,1097317.671269,79.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394702137,2025-12-22 09:11:42.137,1097318.631804,79.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394703099,2025-12-22 09:11:43.099,1097319.594895,81.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394704052,2025-12-22 09:11:44.052,1097320.547965,82.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394705974,2025-12-22 09:11:45.974,1097322.470057,83.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394705976,2025-12-22 09:11:45.976,1097322.471007,83.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394706918,2025-12-22 09:11:46.918,1097323.413901,82.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394708853,2025-12-22 09:11:48.853,1097325.348825,81.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394708855,2025-12-22 09:11:48.855,1097325.351509,81.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394709816,2025-12-22 09:11:49.816,1097326.311473,81.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394711254,2025-12-22 09:11:51.254,1097327.749701,81.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394712212,2025-12-22 09:11:52.212,1097328.707739,80.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394713178,2025-12-22 09:11:53.178,1097329.674368,80.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394715093,2025-12-22 09:11:55.093,1097331.588796,80.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394715096,2025-12-22 09:11:55.096,1097331.591793,80.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394716053,2025-12-22 09:11:56.053,1097332.548546,79.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394717014,2025-12-22 09:11:57.014,1097333.509992,79.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394717971,2025-12-22 09:11:57.971,1097334.467122,78.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394718935,2025-12-22 09:11:58.935,1097335.431334,78.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394719891,2025-12-22 09:11:59.891,1097336.386962,77.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394720856,2025-12-22 09:12:00.856,1097337.351203,76.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394721811,2025-12-22 09:12:01.811,1097338.307415,76.000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
