utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766394797815,2025-12-22 09:13:17.815,1097413.668855,80.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394798140,2025-12-22 09:13:18.140,1097414.635257,81.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394799098,2025-12-22 09:13:19.098,1097415.592770,81.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394800056,2025-12-22 09:13:20.056,1097416.550828,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394801019,2025-12-22 09:13:21.019,1097417.513703,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394801976,2025-12-22 09:13:21.976,1097418.470602,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394802937,2025-12-22 09:13:22.937,1097419.431384,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394803898,2025-12-22 09:13:23.898,1097420.392338,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394804857,2025-12-22 09:13:24.857,1097421.351363,83.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394805819,2025-12-22 09:13:25.819,1097422.313040,83.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394807258,2025-12-22 09:13:27.258,1097423.752977,83.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394808219,2025-12-22 09:13:28.219,1097424.713049,83.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394809177,2025-12-22 09:13:29.177,1097425.671238,83.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394810138,2025-12-22 09:13:30.138,1097426.633346,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394811098,2025-12-22 09:13:31.098,1097427.592514,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394812058,2025-12-22 09:13:32.058,1097428.552778,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394813017,2025-12-22 09:13:33.017,1097429.511405,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394813978,2025-12-22 09:13:33.978,1097430.472532,82.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394814938,2025-12-22 09:13:34.938,1097431.432843,81.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394815899,2025-12-22 09:13:35.899,1097432.392972,81.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
1766394816858,2025-12-22 09:13:36.858,1097433.352546,81.000,1222091316_66a0fe2041be4,1766394796526,2025-12-22 09:13:16.526
