utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766395805847,2025-12-22 09:30:05.847,1098421.681461,82.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395806162,2025-12-22 09:30:06.162,1098422.637711,82.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395807123,2025-12-22 09:30:07.123,1098423.598595,82.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395808083,2025-12-22 09:30:08.083,1098424.558920,82.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395810003,2025-12-22 09:30:10.003,1098426.478960,82.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395810006,2025-12-22 09:30:10.006,1098426.482031,82.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395810964,2025-12-22 09:30:10.964,1098427.439754,81.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395811924,2025-12-22 09:30:11.924,1098428.399354,81.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395812882,2025-12-22 09:30:12.882,1098429.357864,81.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395813846,2025-12-22 09:30:13.846,1098430.321224,80.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395815284,2025-12-22 09:30:15.284,1098431.760257,80.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395816243,2025-12-22 09:30:16.243,1098432.718990,79.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395817202,2025-12-22 09:30:17.202,1098433.678222,79.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395818165,2025-12-22 09:30:18.165,1098434.640249,78.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395819125,2025-12-22 09:30:19.125,1098435.600799,77.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395820085,2025-12-22 09:30:20.085,1098436.560359,76.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395821045,2025-12-22 09:30:21.045,1098437.520842,76.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395822004,2025-12-22 09:30:22.004,1098438.480197,76.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395822966,2025-12-22 09:30:22.966,1098439.440834,75.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395823925,2025-12-22 09:30:23.925,1098440.400796,75.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395824887,2025-12-22 09:30:24.887,1098441.362372,75.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
1766395826804,2025-12-22 09:30:26.804,1098443.279253,75.000,1222093004_3fd7047127bf4,1766395804852,2025-12-22 09:30:04.852
