utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766396037694,2025-12-22 09:33:57.694,1098653.522712,84.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396038009,2025-12-22 09:33:58.009,1098654.480493,85.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396038969,2025-12-22 09:33:58.969,1098655.440254,85.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396039932,2025-12-22 09:33:59.932,1098656.402487,85.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396040891,2025-12-22 09:34:00.891,1098657.362547,85.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396041852,2025-12-22 09:34:01.852,1098658.323482,84.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396043291,2025-12-22 09:34:03.291,1098659.762118,84.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396044252,2025-12-22 09:34:04.252,1098660.723131,84.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396045210,2025-12-22 09:34:05.210,1098661.681046,83.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396046171,2025-12-22 09:34:06.171,1098662.642498,82.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396047131,2025-12-22 09:34:07.131,1098663.602019,82.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396048089,2025-12-22 09:34:08.089,1098664.560371,83.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396049050,2025-12-22 09:34:09.050,1098665.521018,83.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396050012,2025-12-22 09:34:10.012,1098666.482812,83.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396050971,2025-12-22 09:34:10.971,1098667.441883,83.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396052893,2025-12-22 09:34:12.893,1098669.364095,82.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396052896,2025-12-22 09:34:12.896,1098669.367060,82.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396053852,2025-12-22 09:34:13.852,1098670.322932,82.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396055289,2025-12-22 09:34:15.289,1098671.760240,82.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396056250,2025-12-22 09:34:16.250,1098672.720339,83.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396057213,2025-12-22 09:34:17.213,1098673.683300,84.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396058172,2025-12-22 09:34:18.172,1098674.642591,84.000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
