utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766396108733,2025-12-22 09:35:08.733,1098724.562283,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396109053,2025-12-22 09:35:09.053,1098725.522648,81.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396110012,2025-12-22 09:35:10.012,1098726.481451,81.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396110971,2025-12-22 09:35:10.971,1098727.440956,81.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396111934,2025-12-22 09:35:11.934,1098728.403488,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396112891,2025-12-22 09:35:12.891,1098729.362038,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396113853,2025-12-22 09:35:13.853,1098730.323270,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396115277,2025-12-22 09:35:15.277,1098731.747073,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396116251,2025-12-22 09:35:16.251,1098732.721432,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396117212,2025-12-22 09:35:17.212,1098733.681561,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396118172,2025-12-22 09:35:18.172,1098734.641939,79.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396119133,2025-12-22 09:35:19.133,1098735.603608,79.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396120095,2025-12-22 09:35:20.095,1098736.565247,79.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396121053,2025-12-22 09:35:21.053,1098737.522901,78.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396122015,2025-12-22 09:35:22.015,1098738.484831,78.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396122973,2025-12-22 09:35:22.973,1098739.443054,77.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396123933,2025-12-22 09:35:23.933,1098740.403105,77.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396124893,2025-12-22 09:35:24.893,1098741.363526,78.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396125853,2025-12-22 09:35:25.853,1098742.322413,78.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396127294,2025-12-22 09:35:27.294,1098743.763803,78.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396128254,2025-12-22 09:35:28.254,1098744.723919,79.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
1766396129215,2025-12-22 09:35:29.215,1098745.684812,80.000,1222093507_a1d9200468974,1766396107540,2025-12-22 09:35:07.540
