utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766396152897,2025-12-22 09:35:52.897,1098768.723901,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396153214,2025-12-22 09:35:53.214,1098769.682873,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396154174,2025-12-22 09:35:54.174,1098770.642631,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396155135,2025-12-22 09:35:55.135,1098771.603337,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396156095,2025-12-22 09:35:56.095,1098772.563575,74.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396157051,2025-12-22 09:35:57.051,1098773.519528,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396158015,2025-12-22 09:35:58.015,1098774.483745,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396158976,2025-12-22 09:35:58.976,1098775.444716,72.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396159935,2025-12-22 09:35:59.935,1098776.403842,72.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396160894,2025-12-22 09:36:00.894,1098777.362959,72.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396161856,2025-12-22 09:36:01.856,1098778.325159,72.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396163296,2025-12-22 09:36:03.296,1098779.764723,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396164252,2025-12-22 09:36:04.252,1098780.721450,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396165216,2025-12-22 09:36:05.216,1098781.684685,74.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396166174,2025-12-22 09:36:06.174,1098782.642442,74.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396167136,2025-12-22 09:36:07.136,1098783.604605,74.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396168093,2025-12-22 09:36:08.093,1098784.561576,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396169054,2025-12-22 09:36:09.054,1098785.522069,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396170017,2025-12-22 09:36:10.017,1098786.485911,74.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396170976,2025-12-22 09:36:10.976,1098787.445038,74.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396171933,2025-12-22 09:36:11.933,1098788.402323,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396172896,2025-12-22 09:36:12.896,1098789.364724,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
1766396173851,2025-12-22 09:36:13.851,1098790.318760,73.000,1222093551_29fea59de2634,1766396151934,2025-12-22 09:35:51.934
