utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766396221538,2025-12-22 09:37:01.538,1098837.365701,77.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396222817,2025-12-22 09:37:02.817,1098839.285339,78.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396223295,2025-12-22 09:37:03.295,1098839.763507,78.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396224252,2025-12-22 09:37:04.252,1098840.720132,78.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396225215,2025-12-22 09:37:05.215,1098841.683881,80.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396226175,2025-12-22 09:37:06.175,1098842.643615,81.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396227137,2025-12-22 09:37:07.137,1098843.604919,81.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396228099,2025-12-22 09:37:08.099,1098844.567242,82.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396229053,2025-12-22 09:37:09.053,1098845.520837,82.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396230017,2025-12-22 09:37:10.017,1098846.484714,83.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396231940,2025-12-22 09:37:11.940,1098848.408447,83.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396231943,2025-12-22 09:37:11.943,1098848.411741,83.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396232895,2025-12-22 09:37:12.895,1098849.363241,83.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396233855,2025-12-22 09:37:13.855,1098850.322786,83.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396235293,2025-12-22 09:37:15.293,1098851.761932,83.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396236256,2025-12-22 09:37:16.256,1098852.723949,83.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396237212,2025-12-22 09:37:17.212,1098853.680108,81.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396238176,2025-12-22 09:37:18.176,1098854.643423,81.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396239138,2025-12-22 09:37:19.138,1098855.605969,80.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396240094,2025-12-22 09:37:20.094,1098856.561674,79.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396241054,2025-12-22 09:37:21.054,1098857.521334,78.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396242012,2025-12-22 09:37:22.012,1098858.480378,78.000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
