utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766397060595,2025-12-22 09:51:00.595,1099676.413267,81.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397059957,2025-12-22 09:50:59.957,1099676.416671,81.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397060910,2025-12-22 09:51:00.910,1099677.369432,80.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397061871,2025-12-22 09:51:01.871,1099678.330434,80.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397062831,2025-12-22 09:51:02.831,1099679.291089,78.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397064269,2025-12-22 09:51:04.269,1099680.728829,78.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397065231,2025-12-22 09:51:05.231,1099681.690964,77.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397066193,2025-12-22 09:51:06.193,1099682.652282,77.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397067153,2025-12-22 09:51:07.153,1099683.612726,75.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397068110,2025-12-22 09:51:08.110,1099684.569696,76.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397069074,2025-12-22 09:51:09.074,1099685.533120,76.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397070030,2025-12-22 09:51:10.030,1099686.489711,76.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397070989,2025-12-22 09:51:10.989,1099687.449207,76.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397071947,2025-12-22 09:51:11.947,1099688.406856,76.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397072912,2025-12-22 09:51:12.912,1099689.371578,76.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397073872,2025-12-22 09:51:13.872,1099690.331512,76.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397074832,2025-12-22 09:51:14.832,1099691.291725,75.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397076271,2025-12-22 09:51:16.271,1099692.730774,75.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397077231,2025-12-22 09:51:17.231,1099693.690835,75.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397078195,2025-12-22 09:51:18.195,1099694.654458,74.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397079147,2025-12-22 09:51:19.147,1099695.606681,75.000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
