utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766397151786,2025-12-22 09:52:31.786,1099767.596851,76.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397152105,2025-12-22 09:52:32.105,1099768.556616,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397153080,2025-12-22 09:52:33.080,1099769.531582,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397154039,2025-12-22 09:52:34.039,1099770.491115,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397154982,2025-12-22 09:52:34.982,1099771.433632,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397155946,2025-12-22 09:52:35.946,1099772.398396,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397156919,2025-12-22 09:52:36.919,1099773.370499,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397157880,2025-12-22 09:52:37.880,1099774.331996,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397158836,2025-12-22 09:52:38.836,1099775.287386,78.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397160282,2025-12-22 09:52:40.282,1099776.733381,78.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397161237,2025-12-22 09:52:41.237,1099777.689514,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397162197,2025-12-22 09:52:42.197,1099778.648940,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397163160,2025-12-22 09:52:43.160,1099779.612464,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397164118,2025-12-22 09:52:44.118,1099780.569320,78.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397165080,2025-12-22 09:52:45.080,1099781.531802,78.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397166042,2025-12-22 09:52:46.042,1099782.492949,78.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397167000,2025-12-22 09:52:47.000,1099783.452147,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397167962,2025-12-22 09:52:47.962,1099784.413872,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397168917,2025-12-22 09:52:48.917,1099785.369533,77.000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
