utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766397193565,2025-12-22 09:53:13.565,1099809.374290,74.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397192927,2025-12-22 09:53:12.927,1099809.377886,74.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397193882,2025-12-22 09:53:13.882,1099810.332772,73.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397194842,2025-12-22 09:53:14.842,1099811.292718,73.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397196284,2025-12-22 09:53:16.284,1099812.733982,74.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397197243,2025-12-22 09:53:17.243,1099813.693512,74.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397198181,2025-12-22 09:53:18.181,1099814.632507,74.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397199162,2025-12-22 09:53:19.162,1099815.613043,74.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397200116,2025-12-22 09:53:20.116,1099816.566162,75.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397201081,2025-12-22 09:53:21.081,1099817.531427,75.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397202044,2025-12-22 09:53:22.044,1099818.494741,75.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397203003,2025-12-22 09:53:23.003,1099819.453308,75.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397203959,2025-12-22 09:53:23.959,1099820.409385,76.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397204920,2025-12-22 09:53:24.920,1099821.370050,77.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397205883,2025-12-22 09:53:25.883,1099822.332589,76.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397206842,2025-12-22 09:53:26.842,1099823.292213,76.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397208283,2025-12-22 09:53:28.283,1099824.733620,76.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397209244,2025-12-22 09:53:29.244,1099825.693902,77.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397210201,2025-12-22 09:53:30.201,1099826.651015,78.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397211163,2025-12-22 09:53:31.163,1099827.612963,78.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397212122,2025-12-22 09:53:32.122,1099828.571621,78.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397213087,2025-12-22 09:53:33.087,1099829.537451,79.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
1766397214043,2025-12-22 09:53:34.043,1099830.493300,79.000,1222095310_71b10acf93be4,1766397190457,2025-12-22 09:53:10.457
