utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766397649573,2025-12-22 10:00:49.573,1100265.374259,79.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397649894,2025-12-22 10:00:49.894,1100266.336945,80.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397650853,2025-12-22 10:00:50.853,1100267.295217,80.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397652293,2025-12-22 10:00:52.293,1100268.736227,80.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397653255,2025-12-22 10:00:53.255,1100269.697684,80.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397654211,2025-12-22 10:00:54.211,1100270.653977,78.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397655173,2025-12-22 10:00:55.173,1100271.616193,78.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397656134,2025-12-22 10:00:56.134,1100272.576082,78.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397657094,2025-12-22 10:00:57.094,1100273.537124,77.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397658053,2025-12-22 10:00:58.053,1100274.495103,77.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397659012,2025-12-22 10:00:59.012,1100275.454774,77.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397659972,2025-12-22 10:00:59.972,1100276.415191,76.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397660931,2025-12-22 10:01:00.931,1100277.373890,76.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397661889,2025-12-22 10:01:01.889,1100278.331052,76.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397662855,2025-12-22 10:01:02.855,1100279.297325,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397664297,2025-12-22 10:01:04.297,1100280.739416,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397665255,2025-12-22 10:01:05.255,1100281.696970,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397666211,2025-12-22 10:01:06.211,1100282.653233,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397667173,2025-12-22 10:01:07.173,1100283.616088,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397668136,2025-12-22 10:01:08.136,1100284.578231,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397669094,2025-12-22 10:01:09.094,1100285.535975,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397670054,2025-12-22 10:01:10.054,1100286.496603,75.000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
