utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766398249588,2025-12-22 10:10:49.588,1100865.378306,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398249908,2025-12-22 10:10:49.908,1100866.340298,79.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398250867,2025-12-22 10:10:50.867,1100867.298986,79.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398252309,2025-12-22 10:10:52.309,1100868.740878,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398253264,2025-12-22 10:10:53.264,1100869.695931,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398254231,2025-12-22 10:10:54.231,1100870.662921,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398255174,2025-12-22 10:10:55.174,1100871.605463,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398256147,2025-12-22 10:10:56.147,1100872.579155,77.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398257110,2025-12-22 10:10:57.110,1100873.541549,77.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398258066,2025-12-22 10:10:58.066,1100874.498000,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398259990,2025-12-22 10:10:59.990,1100876.421618,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398259993,2025-12-22 10:10:59.993,1100876.424899,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398260936,2025-12-22 10:11:00.936,1100877.366662,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398261909,2025-12-22 10:11:01.909,1100878.339663,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398262871,2025-12-22 10:11:02.871,1100879.302603,79.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398264295,2025-12-22 10:11:04.295,1100880.726366,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398265267,2025-12-22 10:11:05.267,1100881.698115,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398266227,2025-12-22 10:11:06.227,1100882.658482,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398267189,2025-12-22 10:11:07.189,1100883.619993,78.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398268138,2025-12-22 10:11:08.138,1100884.569277,77.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398269107,2025-12-22 10:11:09.107,1100885.539077,77.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398270052,2025-12-22 10:11:10.052,1100886.482777,77.000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
