utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766398324470,2025-12-22 10:12:04.470,1100940.259252,85.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398324307,2025-12-22 10:12:04.307,1100940.736271,83.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398325269,2025-12-22 10:12:05.269,1100941.699578,80.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398326228,2025-12-22 10:12:06.228,1100942.657700,79.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398327190,2025-12-22 10:12:07.190,1100943.619535,79.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398328149,2025-12-22 10:12:08.149,1100944.578340,78.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398330069,2025-12-22 10:12:10.069,1100946.499631,77.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398330071,2025-12-22 10:12:10.071,1100946.501356,77.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398331029,2025-12-22 10:12:11.029,1100947.458591,76.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398332950,2025-12-22 10:12:12.950,1100949.379407,76.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398332952,2025-12-22 10:12:12.952,1100949.381601,76.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
1766398333908,2025-12-22 10:12:13.908,1100950.338502,76.000,1222101200_3af15caf82124,1766398320323,2025-12-22 10:12:00.323
