utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766463742873,2025-12-23 04:22:22.873,1128585.475840,87.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463743194,2025-12-23 04:22:23.194,1128586.438830,88.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463744154,2025-12-23 04:22:24.154,1128587.398534,90.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463745113,2025-12-23 04:22:25.113,1128588.357068,91.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463746071,2025-12-23 04:22:26.071,1128589.315826,91.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463747031,2025-12-23 04:22:27.031,1128590.276248,91.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463747994,2025-12-23 04:22:27.994,1128591.238643,91.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463748954,2025-12-23 04:22:28.954,1128592.198197,91.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463749910,2025-12-23 04:22:29.910,1128593.154221,90.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463750871,2025-12-23 04:22:30.871,1128594.115452,90.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
1766463751831,2025-12-23 04:22:31.831,1128595.075406,91.000,1223042219_c4c777dd7a204,1766463739886,2025-12-23 04:22:19.886
