utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766464653936,2025-12-23 04:37:33.936,1129496.522625,85.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464654258,2025-12-23 04:37:34.258,1129497.485211,86.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464655216,2025-12-23 04:37:35.216,1129498.444488,87.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464657137,2025-12-23 04:37:37.137,1129500.365210,88.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464657140,2025-12-23 04:37:37.140,1129500.368268,88.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464658097,2025-12-23 04:37:38.097,1129501.325516,87.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464659057,2025-12-23 04:37:39.057,1129502.284955,87.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464660018,2025-12-23 04:37:40.018,1129503.246392,87.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464660975,2025-12-23 04:37:40.975,1129504.203049,88.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464661939,2025-12-23 04:37:41.939,1129505.166849,89.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464662900,2025-12-23 04:37:42.900,1129506.128316,89.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464664336,2025-12-23 04:37:44.336,1129507.563886,88.000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
