utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766464884821,2025-12-23 04:41:24.821,1129727.403478,94.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464885141,2025-12-23 04:41:25.141,1129728.364417,95.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464886100,2025-12-23 04:41:26.100,1129729.324753,96.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464887063,2025-12-23 04:41:27.063,1129730.286933,96.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464888015,2025-12-23 04:41:28.015,1129731.239485,97.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464888983,2025-12-23 04:41:28.983,1129732.206887,96.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464889927,2025-12-23 04:41:29.927,1129733.150553,95.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464890902,2025-12-23 04:41:30.902,1129734.126168,95.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464891849,2025-12-23 04:41:31.849,1129735.073071,94.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464893304,2025-12-23 04:41:33.304,1129736.527849,94.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464894261,2025-12-23 04:41:34.261,1129737.484310,92.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464895223,2025-12-23 04:41:35.223,1129738.447096,93.000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
