utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766465179549,2025-12-23 04:46:19.549,1130022.127304,90.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465179870,2025-12-23 04:46:19.870,1130023.088980,91.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465181310,2025-12-23 04:46:21.310,1130024.529587,92.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465182270,2025-12-23 04:46:22.270,1130025.488888,94.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465183229,2025-12-23 04:46:23.229,1130026.447609,95.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465184189,2025-12-23 04:46:24.189,1130027.408060,96.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465185149,2025-12-23 04:46:25.149,1130028.367892,97.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465186111,2025-12-23 04:46:26.111,1130029.329622,97.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465187065,2025-12-23 04:46:27.065,1130030.284679,96.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465188027,2025-12-23 04:46:28.027,1130031.246627,96.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465188990,2025-12-23 04:46:28.990,1130032.209697,96.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
1766465189946,2025-12-23 04:46:29.946,1130033.164911,94.000,1223044618_04db4195e8cf4,1766465178796,2025-12-23 04:46:18.796
