utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766468237697,2025-12-23 05:37:17.697,1133021.981701,94.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468237531,2025-12-23 05:37:17.531,1133022.457412,95.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468238976,2025-12-23 05:37:18.976,1133023.901940,95.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468239470,2025-12-23 05:37:19.470,1133024.396876,95.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468240413,2025-12-23 05:37:20.413,1133025.339502,96.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468241389,2025-12-23 05:37:21.389,1133026.315606,96.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468242349,2025-12-23 05:37:22.349,1133027.275811,96.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468243308,2025-12-23 05:37:23.308,1133028.234584,95.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468244270,2025-12-23 05:37:24.270,1133029.196224,95.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468245707,2025-12-23 05:37:25.707,1133030.633414,95.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
1766468246668,2025-12-23 05:37:26.668,1133031.595114,96.000,1223053715_90ecaac1f5aa4,1766468235560,2025-12-23 05:37:15.560
