utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766832125288,2025-12-27 10:42:05.288,1298909.720137,98.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832125609,2025-12-27 10:42:05.609,1298910.682223,98.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832126567,2025-12-27 10:42:06.567,1298911.639652,97.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832128008,2025-12-27 10:42:08.008,1298913.080791,97.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832128969,2025-12-27 10:42:08.969,1298914.041971,95.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832129926,2025-12-27 10:42:09.926,1298914.998672,94.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832130887,2025-12-27 10:42:10.887,1298915.959892,93.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832131844,2025-12-27 10:42:11.844,1298916.917575,92.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832132808,2025-12-27 10:42:12.808,1298917.881388,91.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832133766,2025-12-27 10:42:13.766,1298918.839232,90.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832134728,2025-12-27 10:42:14.728,1298919.801068,91.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
1766832135689,2025-12-27 10:42:15.689,1298920.761979,91.000,1227104204_ff6b3a643ddb4,1766832124447,2025-12-27 10:42:04.447
