utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1765788954355,2025-12-15 08:55:54.355,851691.458697,84.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788954669,2025-12-15 08:55:54.669,851692.414377,85.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788955632,2025-12-15 08:55:55.632,851693.377185,85.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788956592,2025-12-15 08:55:56.592,851694.337195,86.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788957554,2025-12-15 08:55:57.554,851695.299305,87.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788958994,2025-12-15 08:55:58.994,851696.739218,87.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788959952,2025-12-15 08:55:59.952,851697.697559,88.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788960912,2025-12-15 08:56:00.912,851698.657938,90.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788961873,2025-12-15 08:56:01.873,851699.617767,93.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788962832,2025-12-15 08:56:02.832,851700.576699,94.000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
