utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766397249083,2025-12-22 09:54:09.083,1099865.532640,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397250042,2025-12-22 09:54:10.042,1099866.491660,79.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397251001,2025-12-22 09:54:11.001,1099867.450951,79.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397251962,2025-12-22 09:54:11.962,1099868.412085,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397252923,2025-12-22 09:54:12.923,1099869.372381,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397253884,2025-12-22 09:54:13.884,1099870.334092,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397254841,2025-12-22 09:54:14.841,1099871.290869,79.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397256284,2025-12-22 09:54:16.284,1099872.733236,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397257242,2025-12-22 09:54:17.242,1099873.691208,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397258203,2025-12-22 09:54:18.203,1099874.652238,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397259164,2025-12-22 09:54:19.164,1099875.613433,79.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397260124,2025-12-22 09:54:20.124,1099876.573357,79.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397261081,2025-12-22 09:54:21.081,1099877.530692,79.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397262045,2025-12-22 09:54:22.045,1099878.494611,78.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397263002,2025-12-22 09:54:23.002,1099879.451211,78.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397263961,2025-12-22 09:54:23.961,1099880.410395,79.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397264920,2025-12-22 09:54:24.920,1099881.369030,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397265881,2025-12-22 09:54:25.881,1099882.330710,80.000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
