utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769585128365,2026-01-28 07:25:28.365,241392.726186,86.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585129325,2026-01-28 07:25:29.325,241393.686236,86.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585130286,2026-01-28 07:25:30.286,241394.647604,86.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585131243,2026-01-28 07:25:31.243,241395.605183,86.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585133165,2026-01-28 07:25:33.165,241397.526201,87.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585133168,2026-01-28 07:25:33.168,241397.529275,87.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585134126,2026-01-28 07:25:34.126,241398.487868,87.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585135085,2026-01-28 07:25:35.085,241399.445974,87.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585136043,2026-01-28 07:25:36.043,241400.404601,86.000,no_4,1769585127845,2026-01-28 07:25:27.845
1769585137485,2026-01-28 07:25:37.485,241401.846082,86.000,no_4,1769585127845,2026-01-28 07:25:27.845
