utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769489878925,2026-01-27 04:57:58.925,186318.631880,96.000,no_session,,
1769489879245,2026-01-27 04:57:59.245,186319.593727,96.000,no_session,,
1769489880202,2026-01-27 04:58:00.202,186320.550783,93.000,no_session,,
1769489881165,2026-01-27 04:58:01.165,186321.513165,92.000,no_session,,
1769489882603,2026-01-27 04:58:02.603,186322.951460,90.000,no_session,,
1769489883548,2026-01-27 04:58:03.548,186323.896510,90.000,no_session,,
1769489884522,2026-01-27 04:58:04.522,186324.870748,91.000,no_session,,
1769489885479,2026-01-27 04:58:05.479,186325.827929,93.000,no_session,,
1769489886441,2026-01-27 04:58:06.441,186326.789316,94.000,no_session,,
1769489887401,2026-01-27 04:58:07.401,186327.749104,94.000,no_session,,
1769489888364,2026-01-27 04:58:08.364,186328.712823,94.000,no_session,,
1769489889324,2026-01-27 04:58:09.324,186329.672463,95.000,no_session,,
1769489890287,2026-01-27 04:58:10.287,186330.634988,95.000,no_session,,
1769489891243,2026-01-27 04:58:11.243,186331.591829,94.000,no_session,,
1769489892200,2026-01-27 04:58:12.200,186332.548735,93.000,no_session,,
1769489893646,2026-01-27 04:58:13.646,186333.994501,93.000,no_session,,
1769489894587,2026-01-27 04:58:14.587,186334.935395,92.000,no_session,,
1769489895564,2026-01-27 04:58:15.564,186335.913059,91.000,no_session,,
1769489896505,2026-01-27 04:58:16.505,186336.853372,90.000,no_session,,
1769489897487,2026-01-27 04:58:17.487,186337.834993,90.000,no_session,,
1769489898426,2026-01-27 04:58:18.426,186338.774546,91.000,no_session,,
